93e0f6e0-d44f-470c-afbd-c1291d95de91,transport,user_1,0.006,km,2026-01-12T09:34:40.189783+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 23.16}}"
44467791-f19e-4508-98d2-59e9361237c4,transport,user_2,0.005,km,2026-01-12T09:34:40.190397+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 18.05}}"
5c8df16b-867e-43e3-a63a-09be0f31cc2b,transport,user_3,0.006,km,2026-01-12T09:34:40.190504+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 20.06}}"
ec408c11-e4a6-4ad1-a099-73b649367006,transport,user_4,0.003,km,2026-01-12T09:34:40.190611+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 10.93}}"
e35d8810-c586-4689-a337-26e4647184c3,transport,user_5,0.007,km,2026-01-12T09:34:40.190698+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 23.77}}"
1f3dc041-8541-4eed-a2a2-772cbf9927f8,transport,user_1,0.005,km,2026-01-12T09:34:41.190953+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 16.63}}"
389ed1f7-6009-40b6-be61-e17117f3d9e9,transport,user_2,0.008,km,2026-01-12T09:34:41.191442+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 27.43}}"
46c388c1-8e1b-408b-b048-691cc4dfa596,transport,user_3,0.005,km,2026-01-12T09:34:41.191599+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 17.83}}"
78629d2f-c4d1-4d43-b335-2b07ed6a42f4,transport,user_4,0.003,km,2026-01-12T09:34:41.191837+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 11.77}}"
d433e5a0-be26-41af-9c7a-dd1553a6a26b,transport,user_5,0.005,km,2026-01-12T09:34:41.192003+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 19.57}}"
38516776-7bfa-46af-8610-d39e08e0a20e,transport,user_1,0.005,km,2026-01-12T09:34:42.192256+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 17.45}}"
f4f0bc6d-c549-41e4-9f30-1a4fb471d4a0,transport,user_2,0.005,km,2026-01-12T09:34:42.192749+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 17.35}}"
c4a99263-ef18-42b8-9850-df2a3697eaa5,transport,user_3,0.005,km,2026-01-12T09:34:42.192925+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 17.71}}"
ebea31ad-81da-4d9c-9e6c-0eab9da355aa,transport,user_4,0.004,km,2026-01-12T09:34:42.193051+00:00,"{""source"": ""synthetic"", ""details"": {""speed_kmh"": 13.96}}"
